activity_id,athlete_id,dhr,hr_drift,hr_max,hr_rest,tau_fall,tau_rise
2b6f1c774f8077b680e53617c95bb800643402ec9c5500dc03f834a7a9b0cf1f,1f47de90be07b9beb5c312b8b090b95c246f6abab38e5bafc2c5591e5b961966,0.27336575374638833,3.686222664529972e-05,342.81684751566354,78.70472100360777,26.94158408823899,113.12440597035598
28e79f0e930ef7254c3a7d390570d45fcd062040759e20d7c5417754fb5667b0,1f47de90be07b9beb5c312b8b090b95c246f6abab38e5bafc2c5591e5b961966,0.19835453633025396,-0.00010547533823731736,322.15955221853744,83.79717327801558,17.932421537430425,16.50925834352315
f010cf3eb9dd5d49b0b801b2f5b6d064a30b0b4575c605bb6b29899acb4abff5,1f47de90be07b9beb5c312b8b090b95c246f6abab38e5bafc2c5591e5b961966,0.17001718794942694,1.6727524371975798e-14,154.74872748847986,100.6884101397834,14.677092120692416,60.54976594432944
7e9f4e77be3a3b41947f20c019ee3ba3a12863899bc7cc414ef93ef483e0b0b7,1f47de90be07b9beb5c312b8b090b95c246f6abab38e5bafc2c5591e5b961966,0.16312874580249198,3.8537781581034593e-05,164.53605118886355,109.40183635756355,22.998303877899147,123.43145137595896
26387b5a0f2fdd97218f8cedaa94669659191fb761d01e1cf40a5c9fbd8d9e0a,1f47de90be07b9beb5c312b8b090b95c246f6abab38e5bafc2c5591e5b961966,0.20398889181996144,-5.10634017570172e-05,850.9365201495148,87.51748135132041,28.212947300290537,15.93042024764518
480674f33ef5b71230d0a83a526e6cbd4e3009b9e0cdd9cc49c42f079cb7b178,1f47de90be07b9beb5c312b8b090b95c246f6abab38e5bafc2c5591e5b961966,0.2161458604498344,-4.570770748329779e-05,1444.0689061432486,81.70548546419265,17.848576164770478,38.2951737467026
0cbb559b971b8f47b5583c48876b8bf2bfea4a5acd9e2b37b10451b2555254d5,1f47de90be07b9beb5c312b8b090b95c246f6abab38e5bafc2c5591e5b961966,0.28570322354495126,6.951743065956422e-16,183.177420676797,74.89589847812147,32.917187097116305,47.13973820044334
ce4cc890160c43b0dfaf2f53d84121a0f22dae1b35b2c9d1c6d4225ee5e9894e,1f47de90be07b9beb5c312b8b090b95c246f6abab38e5bafc2c5591e5b961966,0.20578473886613835,-4.466776807575984e-05,804.9470428900655,78.9132861683062,17.470296918839963,21.863937271975534
a1b0d65d97635bc33f2c402fc68fdd5961d6e8781ff96df6b7938a30497a65dc,1f47de90be07b9beb5c312b8b090b95c246f6abab38e5bafc2c5591e5b961966,0.25675848476855667,6.136094784480686e-06,256.7403012139687,88.88643049938273,51.26072879877209,57.09074125863241
aac6b4576ef58a30c4f5d37419bd73d3e75d2ba20eda3a2dbb11f7cee6d27722,1f47de90be07b9beb5c312b8b090b95c246f6abab38e5bafc2c5591e5b961966,0.2610074057757348,2.6886870254045104e-06,366.76270297222027,86.60704354506498,57.71435487185346,51.49708282295096
