,activity_id,athlete_id,dhr,hr_drift,hr_max,hr_rest,tau_fall,tau_rise
0,46bcf01c6f0023e80ba31edf7adcfe72eca591671e3c4523ba2dda34b3cf1124,1f47de90be07b9beb5c312b8b090b95c246f6abab38e5bafc2c5591e5b961966,0.2027733241848645,-1.5468488627704977e-05,604.375085669915,89.38124955654553,25.416431320055537,33.44627606330192
1,a1c69edb8d995c35e49e27f0f5905363504b601eb05b7e10b7786940125a65ac,1f47de90be07b9beb5c312b8b090b95c246f6abab38e5bafc2c5591e5b961966,0.30234639851260414,5.4685325609214696e-05,4348.969044306667,83.41938027821907,179.1080460439672,40.312035931753584
2,5e920d023d38a77b144e29e3d56f0dd300688dfe72e366fef64c850735dbf701,1f47de90be07b9beb5c312b8b090b95c246f6abab38e5bafc2c5591e5b961966,0.20363419388105763,-8.000689250326612e-05,271.21139371372715,96.50421272468512,22.17667881489511,36.7788052442864
3,2b6f1c774f8077b680e53617c95bb800643402ec9c5500dc03f834a7a9b0cf1f,1f47de90be07b9beb5c312b8b090b95c246f6abab38e5bafc2c5591e5b961966,0.27336575374638833,3.686222664529972e-05,342.81684751566354,78.70472100360777,26.94158408823899,113.12440597035598
4,c8200c788e96db9e6c92dbcd3c8bb71ff5c50c2c06ddd9fc809ae9b1e569cb19,1f47de90be07b9beb5c312b8b090b95c246f6abab38e5bafc2c5591e5b961966,0.26778409269298215,2.7634053520250067e-05,198.86010631997235,69.86339298335638,41.705225771313806,33.49512154520004
5,9baa176d803a4a8ddfd37801d6b342e6584539292ddf3f34981b8cd8e6a8423e,1f47de90be07b9beb5c312b8b090b95c246f6abab38e5bafc2c5591e5b961966,0.2874118095763611,9.095124432856343e-06,201.61759533063793,80.46058219806034,76.48895601906405,57.96660195627274
6,13fb1179fa998dddf7fd0536ad6b19c8efff9672e6bcc3c8f4e162a272d6886c,1f47de90be07b9beb5c312b8b090b95c246f6abab38e5bafc2c5591e5b961966,0.17827390357595,-0.0001362628647478996,1692.6537411299919,92.50957643532794,27.437213338288167,27.245817325298304
7,b70a10214bbba550346bd7537421a2d8bfd98205922d70fb1b2f9adcec2d76dd,1f47de90be07b9beb5c312b8b090b95c246f6abab38e5bafc2c5591e5b961966,0.22247725328238982,-0.00010436845986320744,735.4282245873623,91.56693296166321,20.2116943775912,22.176493736588398
8,8ca165eee8a1f71668321b857595015f209a7b368c3c0055d3a540aeefebdd44,1f47de90be07b9beb5c312b8b090b95c246f6abab38e5bafc2c5591e5b961966,0.19031283617949069,2.462944064753367e-05,340.2992961707913,94.99215155381049,56.59598651743806,32.93434755203998
9,89fafefc75dd78ec9bfe87c093171f2fe8fa5feb1077e80d98d70b868d341f65,1f47de90be07b9beb5c312b8b090b95c246f6abab38e5bafc2c5591e5b961966,0.18325859768682262,-0.00010138038542943892,625.0440562184008,95.85947860552002,19.392273967381918,25.475534260453976
